model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
bert,hetero,hetero,0.9451,0.9275,0.9422,0.9319,0.8436,0.9206,0.8912,0.9382,0.8279
bert,hetero,case1,0.2633,0.6286,0.7075,0.7791,0.1881,0.9199,0.6978,0.6748,0.4697
bert,hetero,case2,0.2737,0.6363,0.7322,0.3462,0.1567,0.1216,0.5977,0.2012,0.0971
bert,heterogrouped,heterogrouped,0.6761,0.722,0.7472,0.6493,0.4439,0.4834,0.6398,0.7804,0.3855
bert,heterounique,heterounique,0.9384,0.9204,0.9415,0.9305,0.8372,0.9146,0.8915,0.9352,0.8203
bert,heterounique,case1,0.1893,0.6044,0.7342,0.8058,0.1056,0.9842,0.716,0.6019,0.4211
bert,heterounique,case2,0.2421,0.6643,0.7111,0.3287,0.1193,0.1263,0.5988,0.1965,0.1041
bert,case1,case1,0.8883,0.7524,0.7706,0.9648,0.6165,0.9891,0.7925,0.8447,0.6493
bert,case2,case2,0.8409,0.855,0.8982,0.6632,0.5789,0.5953,0.8374,0.655,0.448
se-bert,hetero,hetero,0.9471,0.9333,0.9431,0.9309,0.8549,0.9196,0.8946,0.9387,0.8265
se-bert,hetero,case1,0.2282,0.5303,0.7512,0.8556,0.1201,0.9527,0.5364,0.784,0.3871
se-bert,hetero,case2,0.2491,0.676,0.6865,0.3041,0.1228,0.1228,0.4257,0.2012,0.0947
se-bert,heterogrouped,heterogrouped,0.6809,0.7235,0.793,0.6572,0.4566,0.4961,0.6351,0.7883,0.406
se-bert,heterounique,heterounique,0.9436,0.921,0.9394,0.9289,0.8335,0.9183,0.8883,0.9347,0.823
se-bert,heterounique,case1,0.1687,0.5522,0.733,0.8629,0.0983,0.9879,0.6214,0.7075,0.4405
se-bert,heterounique,case2,0.2363,0.6678,0.7029,0.3088,0.1251,0.1251,0.4971,0.2023,0.0936
se-bert,case1,case1,0.8932,0.7476,0.7816,0.9648,0.6359,0.9891,0.8058,0.8544,0.6675
se-bert,case2,case2,0.8503,0.8608,0.9029,0.6585,0.6058,0.5906,0.8491,0.6842,0.4632
