model,train_set,test_set,entry,read,write,exit,cfp,interaction,communication,process,microm
bert,hetero,hetero,0.1138,0.3754,0.2926,0.1903,0.1414,0.0956,0.2764,0.7641,0.1527
bert,hetero,case1,0.8228,0.641,1.1532,0.2278,0.4546,0.0806,0.3984,1.8871,0.3247
bert,hetero,case2,0.7466,1.1859,0.7516,0.6454,0.591,0.6771,0.4887,0.9897,0.7279
bert,heterogrouped,heterogrouped,0.2327,0.5025,0.4268,0.3356,0.2397,0.2615,0.3428,0.8908,0.2582
bert,heterounique,heterounique,0.1246,0.422,0.3067,0.1969,0.1465,0.1018,0.2843,0.7834,0.1543
bert,heterounique,case1,0.9106,0.6805,1.0479,0.2015,0.5279,0.0159,0.3744,2.3101,0.35
bert,heterounique,case2,0.7867,1.1004,0.8106,0.6622,0.6531,0.6585,0.4711,0.9605,0.7017
bert,case1,case1,0.1245,0.4259,0.9044,0.0363,0.1581,0.011,0.2736,0.9012,0.1851
bert,case2,case2,0.1605,0.4981,0.2875,0.2535,0.1877,0.182,0.1884,0.2324,0.1675
se-bert,hetero,hetero,0.1097,0.3454,0.288,0.1931,0.1302,0.0968,0.2667,0.7579,0.1478
se-bert,hetero,case1,0.8634,0.8101,0.9809,0.1489,0.5256,0.0476,0.6112,1.2534,0.3702
se-bert,hetero,case2,0.7793,1.0594,0.879,0.67,0.6524,0.6784,0.6809,0.9952,0.7647
se-bert,heterogrouped,heterogrouped,0.2337,0.5,0.3647,0.3233,0.2326,0.2485,0.3391,0.8544,0.2451
se-bert,heterounique,heterounique,0.1141,0.4188,0.3177,0.2014,0.1499,0.0974,0.2926,0.7894,0.1534
se-bert,heterounique,case1,0.9337,0.7724,1.0527,0.1414,0.5467,0.0122,0.4991,1.6973,0.3323
se-bert,heterounique,case2,0.8036,1.0854,0.8332,0.6686,0.6639,0.661,0.5993,0.9639,0.7305
se-bert,case1,case1,0.1191,0.4342,0.8611,0.0363,0.1496,0.011,0.256,0.8449,0.1769
se-bert,case2,case2,0.151,0.4758,0.2744,0.2542,0.1789,0.1799,0.1734,0.2154,0.161
